"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","1.92","1.92","4.8899484","0","0","0"
"refrigeration","0.983756666666667","0.983756666666667","1.0861106","0","0","0"
"lighting","0.081219055","0.081219055","0.081219055","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","0","0","0","0","0","0"
"washingMachine","0","0","0","0","0","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","0.772447777777778","0","0","1","0","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
