"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","0","0","2.4","0","0","0"
"refrigeration","1.08831388888889","1.08831388888889","1.0393164","0","0","0"
"lighting","0.16482759","0.16482759","0.16482759","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","1.516","1.516","1.516","1","1","0"
"washingMachine","0","0","0","0","0","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","0","0","0","0","0","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
