"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","1.92","1.92","4.9361973","0","0","0"
"refrigeration","0.974748888888889","0.974748888888889","1.1235169","0","0","0"
"lighting","0.14761923","0.14761923","0.14761923","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","0","0","0","0","0","0"
"washingMachine","0.484400277777778","0.484400277777778","0.448","1","1","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","0.936814166666667","0","0","1","0","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
