"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","4.08","4.08","4.32","0","0","0"
"refrigeration","1.03150833333333","1.03150833333333","1.0845165","0","0","0"
"lighting","0.17980948","0.17980948","0.17980948","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","1.513","1.513","1.513","1","1","0"
"washingMachine","0.94052","0.94052","1.191","2","2","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","0","0","0","0","0","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
