"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","2.16","2.16","2.64","0","0","0"
"refrigeration","0.976776111111111","0.976776111111111","1.0809441","0","0","0"
"lighting","0.049402747","0.049402747","0.049402747","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","0","0","0","0","0","0"
"washingMachine","0","0","0","0","0","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","1.29440277777778","1.29440277777778","0.42339167","1","1","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
