"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","2.16","2.16","4.7558","0","0","0"
"refrigeration","1.07050388888889","1.07050388888889","1.444689","0","0","0"
"lighting","0.24015531","0.24015531","0.24015531","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","0","0","0","0","0","0"
"washingMachine","0","0","0","0","0","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","0","0","0","0","0","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
