"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","2.16","2.16","2.64","0","0","0"
"refrigeration","1.15792277777778","1.15792277777778","1.4485166","0","0","0"
"lighting","0.13314876","0.13314876","0.13314876","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","0","0","0","0","0","0"
"washingMachine","0","0","0","0","0","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","0","0","0","0","0","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
