"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","1.92","1.92","4.991028","0","0","0"
"refrigeration","1.00316333333333","1.00316333333333","1.5170335","0","0","0"
"lighting","0.16625693","0.16625693","0.16625693","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","1.306","1.306","1.306","1","1","0"
"washingMachine","2.45353166666667","1.40133333333333","0.507","3","1","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","1.29400527777778","1.29400527777778","0.5528889","1","1","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
