"name","totalRealEnergy","realEnergy","EstimatedEnergy","number of events","number of estimated events","number of false positive events"
"alwaysOn","2.64","2.64","2.64","0","0","0"
"refrigeration","1.09532722222222","1.09532722222222","1.49895","0","0","0"
"lighting","0.07121782","0.07121782","0.07121782","1","1","0"
"entertainment","0","0","0","0","0","0"
"heatPumps","0","0","0","0","0","0"
"dishWasher","2.693","2.693","2.693","2","2","0"
"washingMachine","2.59872972222222","2.12284722222222","2.384","5","4","0"
"hob","0","0","0","0","0","0"
"oven","0","0","0","0","0","0"
"dryer","2.09213277777778","2.09213277777778","0.7016872","1","1","0"
"electricShower","0","0","0","0","0","0"
"electricVehicle","0","0","0","0","0","0"
